RELEASE_RULE,WORKER_MODE,Workload,time,WL entry,WL released,WL processed,Jobs processed,GTT,SFT,Tardiness,Lateness,Tardy,STDLateness,Constraint Scenario,Current Human Norm,Current Machine Norm,Constraint Switches,PSP Shop Load,Shop Load-0,Shop Load-1,Shop Load-2,Shop Load-3,Shop Load-4,Total Shop Load,Worker 0 Idleness(%),Worker 1 Idleness(%),Worker 2 Idleness(%),Worker 3 Idleness(%),Worker 4 Idleness(%),Total Idle Time,Worker 0 out(%),Worker 1 out(%),Worker 2 out(%),Worker 3 out(%),Worker 4 out(%),W0 Relocations,W1 Relocations,W2 Relocations,W3 Relocations,W4 Relocations,Workers on M0,Workers on M1,Workers on M2,Workers on M3,Workers on M4,Queue Length-0,Queue Length-1,Queue Length-2,Queue Length-3,Queue Length-4
HUMAN_CENTRIC,static,2100,200240.0,4075.9797620159343,4215.670007716928,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,15734.639768471747,516.7134870588537,563.2484763086063,756.1606809278366,696.0941097745575,688.3778601041716,3220.594614174026,100.13888888888889,100.13888888888889,-5.080024932447285,-16.382132962911175,8.387185961898163,1347.8602020790859,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,327.3580043237749,66.94164754936303,196.58319571810523,79.71999189883896,208.97391804974086
HUMAN_CENTRIC,static,2100,200720.0,1614.731513052268,2489.1001137218022,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,14860.271167802211,578.1834294132847,690.3700788828094,605.1546610471263,689.3216223310759,841.1739826041619,3404.2037742784582,100.08333333333333,100.08333333333333,6.702886281035414,-2.893384213423512,8.929286508180667,2554.865462909511,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,296.1189840298713,272.42929473791537,211.26769301510072,201.28386761691428,100.45464445230535
HUMAN_CENTRIC,static,2100,201200.0,2115.8433787214076,1970.1141716545235,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,15006.000374869096,752.6439837603028,737.589520281852,897.956182275806,713.5915035696185,596.6027574498597,3698.383947337439,100.05952380952381,100.05952380952381,-2.923188071893362,-6.428286741860835,-0.3632779471514541,3198.792153616785,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,276.9698635922877,194.56623064167673,251.98479817878655,382.1973040980288,229.652370132718
HUMAN_CENTRIC,static,2100,201680.0,2150.246828397617,2294.807711693485,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,14861.439491573228,785.9433628395219,852.5352457289005,922.3596846125646,708.6371949384143,615.2425455635822,3884.7180336829833,100.04629629629629,100.04629629629629,-1.750195577422144,-5.695414298875052,-0.26796320805361673,4155.386821378022,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,334.5311111550157,282.0237149836607,175.45173868714204,180.27675844212243,151.89058703075256
HUMAN_CENTRIC,static,2100,202160.0,1863.4698960745948,2325.139435966813,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,14399.76995168101,516.4571985061033,665.4617710100684,783.8375069257459,785.2381321982274,589.9188289675401,3340.913437607685,100.0378787878788,100.0378787878788,-1.8441042421093727,-2.2193867268277137,-0.40468712179338606,5164.0400984047155,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,331.7356952836398,296.8604869716555,136.67338232339424,261.37160348704185,168.98849086360394
HUMAN_CENTRIC,static,2100,202640.0,1991.0530506379464,2310.6239208722236,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,14080.199081446732,593.694943869459,651.1816701678711,409.800365927757,737.1062812738293,869.1928910237854,3260.976152262702,100.03205128205128,100.03205128205128,-0.7840783884528671,-4.2734382082553335,1.7033910441610856,6137.35128276053,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,321.7165549322221,289.4985571936148,150.81888138895835,198.62199325704717,158.7254817297758
HUMAN_CENTRIC,static,2100,203120.0,2648.6996878452974,1451.5785672197562,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,15277.320202072273,779.9477379227286,776.8115615354224,474.814600343599,314.29280124898355,519.8003411949545,2865.667042245688,100.02777777777779,100.02777777777779,-0.5840746497043356,-3.694817248314697,-0.25809254389605485,7038.668560091057,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,332.06629622940875,124.61059760928222,94.23006791101714,230.66043872064552,246.41114962068366
HUMAN_CENTRIC,static,2100,203600.0,1805.4644109161927,2432.3794923891023,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,14650.405120599364,490.0616199392708,498.40054785389214,400.379188343779,770.6015531064215,403.0901843105078,2562.5330935538714,100.02450980392157,100.02450980392157,1.3847380107379685,-2.533457966266153,-0.04830664829961618,8113.161314563826,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,326.4487398118015,254.78700201645768,5.547662967211475,104.84906043504704,306.7223878734285
HUMAN_CENTRIC,static,2100,204080.0,950.2102645323439,2569.9196848843235,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,13030.695700247383,587.3128581214415,620.199303593975,673.119173458243,702.9339659194085,669.490860069131,3253.056161162199,100.0219298245614,100.0219298245614,2.479707953230868,-2.6243542326113114,-0.20593801877495074,9106.013356004114,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,332.701633369506,200.88088277070187,203.86886164878186,202.15100576574034,170.84665797912353
HUMAN_CENTRIC,static,2100,204560.0,1293.3140804301024,1604.1892782281134,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,12719.820502449373,413.24069703829764,521.8223214539237,320.35433004437436,509.06849970493,563.0686643797263,2327.554512621252,100.01984126984127,100.01984126984127,3.102509031400947,-1.635499766051662,0.2679096942018886,10169.43991556138,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,150.38501671565564,149.10757556379332,160.54146852705588,401.4396903438353,11.78739916055517
