RELEASE_RULE,WORKER_MODE,Workload,time,WL entry,WL released,WL processed,Jobs processed,GTT,SFT,Tardiness,Lateness,Tardy,STDLateness,Constraint Scenario,Current Human Norm,Current Machine Norm,Constraint Switches,PSP Shop Load,Shop Load-0,Shop Load-1,Shop Load-2,Shop Load-3,Shop Load-4,Total Shop Load,Worker 0 Idleness(%),Worker 1 Idleness(%),Worker 2 Idleness(%),Worker 3 Idleness(%),Worker 4 Idleness(%),Total Idle Time,Worker 0 out(%),Worker 1 out(%),Worker 2 out(%),Worker 3 out(%),Worker 4 out(%),W0 Relocations,W1 Relocations,W2 Relocations,W3 Relocations,W4 Relocations,Workers on M0,Workers on M1,Workers on M2,Workers on M3,Workers on M4,Queue Length-0,Queue Length-1,Queue Length-2,Queue Length-3,Queue Length-4
WL_DIRECT,static,0,200240.0,4075.9797620159343,4993.573617428327,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,530.5385511216977,1884.880629073655,1926.1055572873342,1992.4778137226426,1983.2092711521057,2687.7856723892182,10474.458943624955,100.13888888888889,100.13888888888889,5.733605559532104,9.680818033921241,7.225401925732311,1605.0067437381367,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,602.3886513255804,21.620692508895097,549.2072095776845,818.0771111312389,1586.7784735501089
WL_DIRECT,static,0,200720.0,1614.731513052268,1962.787069838875,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,182.48299433509067,1982.3811287183435,2067.934563479302,1711.5735600773278,1722.8609122058597,2584.8188370915827,10069.569001572416,100.08333333333333,100.08333333333333,6.741568342663716,6.38514942611073,7.739635792813108,2652.3962427390506,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,672.4107965855329,269.0776647776796,340.9389223439026,666.4019294876188,1435.1842544384986
WL_DIRECT,static,0,201200.0,2115.8433787214076,2194.943633405414,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,103.382739651084,1935.7947461179622,1907.9549680084167,1710.089118921687,2042.721510595916,2508.4028426372224,10104.963186281204,100.05952380952381,100.05952380952381,6.302100320591264,8.437922332077937,7.86877205389222,3741.827751070232,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,594.7481718475891,393.4452610565393,52.67274202614672,675.5601831595781,1574.21378118542
WL_DIRECT,static,0,201680.0,2150.246828397617,1785.5122419288548,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,468.11732611984576,1642.7518523446113,1473.2338005259123,1392.4775817783116,1749.8775838627926,2513.9811829983564,8772.322001509983,100.04629629629629,100.04629629629629,5.916773790350245,7.0085263943891976,8.554450349519255,4785.962611539988,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,499.47096994531626,174.27789417930177,107.64859892337813,604.8683661843055,1502.3285301211456
WL_DIRECT,static,0,202160.0,1863.4698960745948,1888.5275639901458,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,443.0596582042948,1821.3248844239329,1469.791054422179,1277.5141275821147,2026.7330889968428,2447.891218012927,9043.254373437996,100.0378787878788,100.0378787878788,6.378267642305052,6.850301228426388,7.0541814076282074,5817.464607348695,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,478.5518632535967,252.24068426610964,63.72501792593358,701.3633484840128,1526.7395784410023
WL_DIRECT,static,0,202640.0,1991.0530506379464,1632.657462794214,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,801.4552460480272,1823.56444772436,1314.8040007869204,1217.9328066140263,2020.1316535126862,2208.7762295694074,8585.2091382074,100.03205128205128,100.03205128205128,15.25172214853881,6.846820830801451,6.832214209225174,7144.639624283242,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,322.9594454996975,43.01608596147086,72.23935147950624,691.8207365872939,1605.2530010700768
WL_DIRECT,static,0,203120.0,2648.6996878452974,3192.3034737937296,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,257.851460099595,1734.2254571303436,1345.2355747959516,1482.6825013902696,2274.0101546326487,2253.006201434778,9089.159889383991,100.02777777777779,100.02777777777779,14.00630362923241,7.440103735385087,6.593830291953054,8211.44855563654,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,431.42692007305465,185.53057589638695,201.8698831355886,763.1226578169756,1551.3422517708127
WL_DIRECT,static,0,203600.0,1805.4644109161927,1996.7681788267219,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,66.54769218906603,1507.1389890735327,1404.3444263588535,1353.0835521371832,2187.8686548580936,2486.8807735563946,8939.316395984057,100.02450980392157,100.02450980392157,13.172990275615673,8.108600612309495,6.778106678776013,9306.835660721408,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,357.82506347511276,247.0903144765063,221.81123710116287,930.7470272882045,1535.7727155031935
WL_DIRECT,static,0,204080.0,950.2102645323439,909.8265733875346,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,106.9313833338754,1388.3289312854129,978.1129075027885,1335.0139526661305,1784.1980098054214,2231.351405993686,7717.005207253439,100.0219298245614,100.0219298245614,12.084357718650656,6.797103727465008,6.517197117261133,10280.178830489982,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,130.59820671423722,0.0,396.16857506887266,866.1483489037171,1758.0772336965272
WL_DIRECT,static,0,204560.0,1293.3140804301024,945.2236615928448,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,nan,,,,,455.02180217113295,1194.1796502761092,755.3299391796339,1221.1919843218345,1342.3835929222905,2065.9897650223525,6579.074931722221,100.01984126984127,100.01984126984127,11.990576014900325,6.649080715589142,6.496494096494904,11348.862001680012,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,72.25085937551127,73.90833098711752,142.24885577195064,549.864406170339,1725.6618207564998
