RELEASE_RULE,WORKER_MODE,Workload,time,WL entry,WL released,WL processed,Jobs processed,GTT,SFT,Tardiness,Lateness,Tardy,STDLateness,Constraint Scenario,Current Human Norm,Current Machine Norm,Constraint Switches,PSP Shop Load,Shop Load-0,Shop Load-1,Shop Load-2,Shop Load-3,Shop Load-4,Total Shop Load,Worker 0 Idleness(%),Worker 1 Idleness(%),Worker 2 Idleness(%),Worker 3 Idleness(%),Worker 4 Idleness(%),Total Idle Time,Worker 0 out(%),Worker 1 out(%),Worker 2 out(%),Worker 3 out(%),Worker 4 out(%),W0 Relocations,W1 Relocations,W2 Relocations,W3 Relocations,W4 Relocations,Workers on M0,Workers on M1,Workers on M2,Workers on M3,Workers on M4,Queue Length-0,Queue Length-1,Queue Length-2,Queue Length-3,Queue Length-4
HUMAN_CENTRIC,static,1600,200240.0,4075.9797620159343,3982.5119739806332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11378.924361181123,515.3156982176448,680.052530689777,633.7685334364567,833.8005687430589,809.171909564024,3472.1092406509615,100.13888888888889,100.13888888888889,5.6060301731445685,-3.952896639279465,-1.9846650684566056,1439.6129729509412,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,347.627566165992,336.9280607339966,185.47105464491366,118.8272939715969,409.1578080894983
HUMAN_CENTRIC,static,1600,200720.0,1614.731513052268,1995.8512144794277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10997.804659753965,719.9795128711042,939.3191965214316,631.1174422463569,840.3321654731394,760.9024091947762,3891.6507263068083,100.08333333333333,100.08333333333333,-7.924479047627149,0.1305368722557129,-0.0021893262722490667,2308.4464219802758,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,422.38218578147263,190.98130379153736,149.0290204208047,203.86564007094728,353.3139075590831
HUMAN_CENTRIC,static,1600,201200.0,2115.8433787214076,2212.7739345301375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10900.874103945234,764.8473537869932,812.2131784449069,695.7999443322813,894.3539803985681,708.1922240311326,3875.406680993882,100.05952380952381,100.05952380952381,-0.3297593794853864,-0.6275555681938948,0.552312782099415,3355.1959636182582,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,268.37894399641084,153.9393210270482,129.378006049949,248.25680740737783,241.3513306130653
HUMAN_CENTRIC,static,1600,201680.0,2150.246828397617,1767.2424145608418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11283.87851778201,444.88642009186674,535.2888728642828,644.0472225378547,631.8376244505863,596.1638823773179,2852.2240223219087,100.04629629629629,100.04629629629629,3.1313047091370443,-0.9150316878758193,-0.6450545817157641,4355.938318294182,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,132.47225486586328,259.8589304578571,274.3067831464739,348.94587458435797,305.5307140738831
HUMAN_CENTRIC,static,1600,202160.0,1863.4698960745948,3015.047462376204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10132.3009514804,754.5578231597569,785.0018091681214,838.650588864358,768.0999926639437,755.3087999930206,3901.6190138492007,100.0378787878788,100.0378787878788,-0.08040704292921652,-0.5214133039848865,-0.3874532091614321,5255.883178119606,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,356.258456503009,333.8489201058307,198.0954990237587,167.43323093056108,262.02054234735994
HUMAN_CENTRIC,static,1600,202640.0,1991.0530506379464,2534.5669994780083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9588.787002640338,815.7946213550468,958.2673975099189,688.0326208260403,856.3484962753776,674.098237033259,3992.5413729996426,100.03205128205128,100.03205128205128,1.163543652578366,-0.8387201572800106,0.20624666847978892,6258.569389109878,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,383.6308267934759,405.86407467834124,121.20456769923857,194.5590649627942,88.17984438486204
HUMAN_CENTRIC,static,1600,203120.0,2648.6996878452974,1870.9048162211118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10366.581874264524,867.8361257601255,879.3215152275059,583.8709919257556,756.7891123550377,808.809858992276,3896.6276042607005,100.02777777777779,100.02777777777779,1.1830941637850225,0.04593360493567566,0.9500001185911565,7280.445003943227,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,350.73807615621956,412.8838509025567,101.77553846443841,241.99135475353106,360.5735701053866
HUMAN_CENTRIC,static,1600,203600.0,1805.4644109161927,1642.1496202552835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10529.896664925433,639.4968966527442,887.2632103128949,737.7691096990279,781.9199576974722,486.50963486694934,3532.9588092290887,100.02450980392157,100.02450980392157,0.8954216055409393,1.284052397694562,0.277810048623103,8262.257189315831,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,147.35158063761745,392.0794684393033,140.67149034700498,274.01190205309365,321.5617608775183
HUMAN_CENTRIC,static,1600,204080.0,950.2102645323439,2744.113663254407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8735.99326620337,770.7729229241476,681.2797244835226,612.8063347210369,849.3479071838275,682.5662759893091,3596.7731653018436,100.0219298245614,100.0219298245614,1.820718503434348,-0.3540929568075706,-0.33961281821623407,9173.39178041552,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,603.6578108168848,214.032136708826,270.1059613420283,198.1774258496987,138.01168839292478
HUMAN_CENTRIC,static,1600,204560.0,1293.3140804301024,2104.34774925491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7924.959597378562,909.9618775689872,710.531370753178,683.4196444943425,926.5779268544948,688.8180609736025,3919.308880644605,100.01984126984127,100.01984126984127,1.2016661946923013,0.3642249338129962,0.039714114914420943,10162.922504268354,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,441.92930142502075,233.1520246558815,62.141350491078185,410.3710385752221,156.7259160517503
